Brand,Capacity(kg),Price,Rating(out of 5),Total rating,Total reviews,
LG,,119990,3.9,,6,
Samsung,,94990,4.3,,1,
LG,7,69990,4.3,,56,
SAMSUNG,,67990,4.6,,4,
LG,7,65990,4.4,,1,
SAMSUNG,12,65900,4.3,694,2045,
LG,18,65599,4.4,,77,
LG,5,64999,4.4,880,1080,
IFB,8.5,64990,4.4,,29,
BOSCH,,62289,4.4,616,489,
BOSCH,6,59999,4.4,,4,
BOSCH,6,59999,4.7,,3,
IFB,6.5,59599,4.3,,14,
SAMSUNG,9,59000,4.4,521,340,
SAMSUNG,9,59000,4.5,,9,
SAMSUNG,9,58500,4.2,790,349,
BOSCH,5,56999,4.3,,24,
BOSCH,6,56990,4.3,,43,
BOSCH,6,54999,4.3,,1,
BOSCH,6,54999,4.4,,0,
BOSCH,8,50999,,432,1,
LG,11,50590,4.3,815,462,
BOSCH,10,49999,4.4,567,2777,
Haier,10,49990,4.3,,2,
BOSCH,9,47900,4.3,61,6574,
SAMSUNG,8,47500,3.8,,1,
SAMSUNG,8,47500,4.4,,7,
BOSCH,10,47499,,4349,52,
LG,10,46990,4.3,,18,
BOSCH,9,46260,,53,0,
Panasonic,5,45990,4.3,61,6574,
LG,11,45990,3.9,,2,
Panasonic,5,45990,4.4,,113,
SAMSUNG,8,45890,4.3,,4,
LG,8,45490,4.4,,113,
SAMSUNG,8,44990,4.5,640,305,
SAMSUNG,9,44500,4.2,453,185,
LG,8,43990,4.3,,13,
LG,8,42990,4.3,,2,
Haier,7,42500,4.2,,34,
Haier,8,42500,4.3,,9,
IFB,8.5,42189,,51,1,
LG,9,41990,4.2,,5,
BOSCH,8,40999,3.8,,1,
BOSCH,8,40999,4.3,,55,
IFB,8,40990,4.3,432,162,
LG,8,40990,4.3,61,6574,
SAMSUNG,8,40990,4.3,61,6574,
IFB,9,40990,4.1,,111,
LG,9,40980,4.3,815,462,
LG,9,40980,4.3,61,6574,
Whirlpool,8,40500,4.2,790,349,
Whirlpool,8,40500,,495,10,
LG,7,39990,4.3,,5,
IFB,8.5,39900,4.4,737,450,
Siemens,8,39400,4.3,61,6574,
LG,8,39300,3.8,,22,
Siemens,7,39250,4.4,,1,
SAMSUNG,11,39000,4.3,,1,
LG,8,38990,,4349,52,
LG,7,38990,3.9,,1,
BOSCH,7.5,38790,4.1,,3,
Siemens,7,38679,4.2,,87,
IFB,8,38490,3.8,,1,
